ORI Code,Origin,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
HON,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1,1,5,18,21,41,448,1214,1219,1259,1246,1101,1070,903,781,673,604,484,535,1035,1236,1116,1166,1302,1966,2613,3301
HKG,"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,261,205,105,50,42,20,13,7,5,9,8,,10,11,11,12,17,15,19,25
HUN,Hungary,,,,,,3270,3270,3270,3270,3360,3490,220,210,170,150,140,50,,120,,763,744,728,607,430,435,381,329,3887,4359,5767,4733,3993,5016,4471,2348,3083,2669,1242,800,518,953,3517,3395,2749,3519,3118,3386,1614,1537,1438,1238,1087,1220
ICE,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,,13,12,10,7,31,7,7,4,4,3,3,2
IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,198,408,1019,1492,3263,5011,7550,8924,9663,9845,11399,11571,14349,13706,13345,16285,17811,20466,19569,19514,17769,16232,14258,11042
INS,Indonesia,,,,,,,,,,,,,,,,,,,1000,1000,1000,150,2200,1230,11020,11800,11340,9680,9301,7776,7169,6164,6829,7924,8726,9836,11365,8799,9053,9020,9149,8970,9906,16240,27919,34384,34728,20558,19345,18213,16892,16079,15523,14786
IRQ,Iraq,,,,,,,,,2700,2700,,,,,,,,,560,31000,31098,66589,103766,103721,101724,401503,400745,410818,508468,507986,1133805,1321853,1343824,771077,749834,718719,714730,707338,675030,642886,526179,530511,422512,368580,311884,262299,1450905,2309245,1903519,1785212,1683579,1428308,746206,401417
IRE,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,,3,3,7,6,3,21,4,10,7,7,8,8,9,9
IRN,Islamic Rep. of Iran,,,,,,,,,,,,,,,,,,,,,48,803,2480,5577,5244,88245,87921,10992,58259,52798,75889,130366,128781,115523,121287,112364,104129,93993,89979,86855,88278,92491,138364,122530,115162,99428,102483,68397,69061,72774,68791,72361,75940,75043
ISR,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,16,28,40,118,887,937,1126,987,835,478,416,363,564,625,672,632,882,1541,1494,1310,1301,1335,1340,1043
ITA,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,146,121,112,112,79,52,48,34,224,207,192,217,105,90,62,45,50,58,66,66
JAM,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,10,18,21,27,33,37,37,147,259,350,489,660,766,826,909,1057,1250,1407,1503
JPN,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,2,2,3,3,5,5,19,19,21,13,168,521,185,150,152,176,172,157
JOR,Jordan,,,,,,,,,,,,,,,,,,,,,,,,2,3,103,3,4,8,15,55,112,183,242,443,513,708,719,899,973,919,775,1287,1162,1169,1789,1604,1787,1890,2129,2254,2250,2368,1632
